2025-05-30 11:14:50 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AuthController - Перехід до login-view.fxml
2025-05-30 11:14:57 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.LoginController - Спроба входу користувача з email: sab@gmail.com
2025-05-30 11:14:58 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.LoginController - Успішний вхід: користувач ID=35, email=sab@gmail.com
2025-05-30 11:15:14 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AccountController - Користувач 35 натиснув кнопку виходу.
2025-05-30 11:55:10 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AuthController - Перехід до login-view.fxml
2025-05-30 11:55:35 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.LoginController - Спроба входу користувача з email: sab@gmail.com
2025-05-30 11:55:35 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.LoginController - Успішний вхід: користувач ID=35, email=sab@gmail.com
2025-05-30 11:55:35 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AccountController - Ініціалізація AccountController.
2025-05-30 11:55:35 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AccountController - Дані користувача Ira завантажено в AccountView.
2025-05-30 11:55:49 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AccountController - Користувач 35 натиснув кнопку 'Депозити', перехід до списку депозитів.
2025-05-30 11:55:57 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.DepositsController - Користувач обрав депозит: 'llalla'
2025-05-30 11:56:01 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.DepositsController - Користувач вводить суму поповнення: 500.0 грн для депозиту 'llalla'
2025-05-30 11:56:01 [JavaFX Application Thread] WARN  com.sabat.deposit.controller.DepositsController - Помилка валідації введеної суми: Ви вже відкрили цей депозит раніше.
2025-05-30 11:56:10 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.DepositsController - Користувач обрав сортування: 'Термін (зрост.)'
2025-05-30 11:56:15 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.DepositsController - Користувач ввів пошуковий запит: 'l'
2025-05-30 11:56:15 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.DepositsController - Користувач ввів пошуковий запит: 'll'
2025-05-30 11:56:20 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AccountController - Ініціалізація AccountController.
2025-05-30 11:56:20 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AccountController - Дані користувача Ira завантажено в AccountView.
2025-05-30 11:56:21 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.AccountController - Користувач 35 натиснув кнопку 'Мої депозити'.
2025-05-30 11:56:21 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.MyDepositsController - Ініціалізація MyDepositsController для користувача ID=35
2025-05-30 11:56:21 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.MyDepositsController - Знайдено 2 депозит(ів) для користувача ID=35
2025-05-30 11:56:29 [JavaFX Application Thread] INFO  com.sabat.deposit.controller.MyDepositsController - Знайдено 2 депозит(ів) для користувача ID=35
2025-05-30 12:07:54 [main] WARN  com.sabat.deposit.service.UserService - Спроба поповнення балансу без вказаної суми для користувача email='jane@example.com'
2025-05-30 12:07:54 [main] INFO  com.sabat.deposit.service.UserService - Баланс оновлено для користувача email='bob@example.com' на суму 1000.0
2025-05-30 12:07:54 [main] WARN  com.sabat.deposit.service.UserService - Не вдалося оновити баланс користувача email='charlie@example.com'
2025-05-30 12:07:54 [main] INFO  com.sabat.deposit.service.UserService - Перевірка існування користувача з email 'existing@example.com': true
2025-05-30 12:07:54 [main] WARN  com.sabat.deposit.service.UserService - Спроба реєстрації користувача з існуючим email 'existing@example.com'
2025-05-30 12:07:54 [main] ERROR com.sabat.deposit.service.UserService - Помилка при вході користувача з email 'email@example.com': DB error
java.sql.SQLException: DB error
	at com.sabat.deposit/com.sabat.deposit.service.UserService.loginUser(UserService.java:71) ~[classes/:?]
	at com.sabat.deposit/com.sabat.deposit.service.UserServiceTest.loginUser_ShouldReturnNull_WhenSQLExceptionThrown(UserServiceTest.java:320) ~[test-classes/:?]
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103) ~[?:?]
	at java.base/java.lang.reflect.Method.invoke(Method.java:580) ~[?:?]
	at org.junit.platform.commons.util.ReflectionUtils.invokeMethod(ReflectionUtils.java:728) ~[junit-platform-commons-1.10.2.jar:1.10.2]
	at org.junit.jupiter.engine.execution.MethodInvocation.proceed(MethodInvocation.java:60) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InvocationInterceptorChain$ValidatingInvocation.proceed(InvocationInterceptorChain.java:131) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.extension.TimeoutExtension.intercept(TimeoutExtension.java:156) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.extension.TimeoutExtension.interceptTestableMethod(TimeoutExtension.java:147) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.extension.TimeoutExtension.interceptTestMethod(TimeoutExtension.java:86) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InterceptingExecutableInvoker$ReflectiveInterceptorCall.lambda$ofVoidMethod$0(InterceptingExecutableInvoker.java:103) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InterceptingExecutableInvoker.lambda$invoke$0(InterceptingExecutableInvoker.java:93) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InvocationInterceptorChain$InterceptedInvocation.proceed(InvocationInterceptorChain.java:106) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InvocationInterceptorChain.proceed(InvocationInterceptorChain.java:64) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InvocationInterceptorChain.chainAndInvoke(InvocationInterceptorChain.java:45) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InvocationInterceptorChain.invoke(InvocationInterceptorChain.java:37) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InterceptingExecutableInvoker.invoke(InterceptingExecutableInvoker.java:92) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.execution.InterceptingExecutableInvoker.invoke(InterceptingExecutableInvoker.java:86) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor.lambda$invokeTestMethod$7(TestMethodTestDescriptor.java:218) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.platform.engine.support.hierarchical.ThrowableCollector.execute(ThrowableCollector.java:73) ~[junit-platform-engine-1.10.2.jar:1.10.2]
	at org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor.invokeTestMethod(TestMethodTestDescriptor.java:214) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor.execute(TestMethodTestDescriptor.java:139) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor.execute(TestMethodTestDescriptor.java:69) ~[junit-jupiter-engine-5.10.2.jar:5.10.2]
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.lambda$executeRecursively$6(NodeTestTask.java:151) ~[junit-platform-engine-1.10.2.jar:1.10.2]
	at org.junit.platform.engine.support.hierarchical.ThrowableCollector.execute(ThrowableCollector.java:73) ~[junit-platform-engine-1.10.2.jar:1.10.2]
